,DueDate,CustomerID,SalesPersonID,BillToAddressID,ShipToAddressID,ShipMethodID,LocalID
0,2015-10-24,29842,281,1094,1094,5,27741
1,2015-10-25,29809,281,991,991,5,27742
2,2015-11-02,29975,276,1098,1098,5,27743
3,2015-10-25,30110,276,1047,1047,5,27744
4,2015-10-25,29902,277,602,602,5,27745
5,2015-10-25,30043,290,701,701,5,27746
6,2015-10-30,30118,277,595,595,5,27747
7,2015-10-31,29951,290,681,681,5,27748
8,2015-10-25,12886,-1,16274,16274,1,27749
9,2015-10-24,24386,-1,20314,20314,1,27750
10,2015-10-27,24392,-1,25225,25225,1,27751
11,2015-10-30,12209,-1,13587,13587,1,27752
12,2015-11-01,24418,-1,27518,27518,1,27753
13,2015-10-29,19028,-1,12170,12170,1,27754
14,2015-10-31,19904,-1,28924,28924,1,27755
15,2015-11-02,26116,-1,21504,21504,1,27756
16,2015-10-27,20624,-1,17905,17905,1,27757
17,2015-10-25,12770,-1,13942,13942,1,27758
18,2015-10-30,12882,-1,14077,14077,1,27759
19,2015-10-31,12756,-1,22282,22282,1,27760
20,2015-10-28,26111,-1,21690,21690,1,27761
21,2015-11-01,20816,-1,14624,14624,1,27762
22,2015-10-29,12253,-1,20524,20524,1,27763
23,2015-11-01,25940,-1,20911,20911,1,27764
24,2015-11-01,15063,-1,19543,19543,1,27765
25,2015-10-25,12784,-1,25224,25224,1,27766
26,2015-10-26,24671,-1,15790,15790,1,27767
27,2015-10-28,19041,-1,14980,14980,1,27768
28,2015-10-31,26106,-1,26203,26203,1,27769
29,2015-10-28,20620,-1,28481,28481,1,27770
30,2015-10-28,20815,-1,25512,25512,1,27771
31,2015-10-29,13556,-1,21101,21101,1,27772
32,2015-10-25,11427,-1,22931,22931,1,27773
33,2015-10-29,12774,-1,11532,11532,1,27774
34,2015-10-25,12200,-1,21931,21931,1,27775
35,2015-10-28,20822,-1,29032,29032,1,27776
36,2015-10-30,20617,-1,20632,20632,1,27777
37,2015-10-25,11431,-1,12965,12965,1,27778
38,2015-10-29,12766,-1,15920,15920,1,27779
39,2015-10-27,24646,-1,24168,24168,1,27780
40,2015-10-27,12780,-1,23830,23830,1,27781
41,2015-11-01,12917,-1,16462,16462,1,27782
42,2015-10-26,12418,-1,26089,26089,1,27783
