,BusinessEntityID,RateChangeDate,Rate,PayFrequency,ModifiedDate
0,1,2009-01-14,125.5,2,2014-06-30
1,2,2008-01-31,63.4615,2,2014-06-30
2,3,2007-11-11,43.2692,2,2014-06-30
3,4,2007-12-05,8.62,2,2007-11-21
4,4,2010-05-31,23.72,2,2010-05-16
5,4,2011-12-15,29.8462,2,2011-12-01
6,5,2008-01-06,32.6923,2,2014-06-30
7,6,2008-01-24,32.6923,2,2014-06-30
8,7,2009-02-08,50.4808,2,2014-06-30
9,8,2008-12-29,40.8654,2,2014-06-30
10,9,2009-01-16,40.8654,2,2014-06-30
11,10,2009-05-03,42.4808,2,2014-06-30
12,11,2010-12-05,28.8462,2,2014-06-30
13,12,2007-12-11,25.0,2,2014-06-30
14,13,2010-12-23,25.0,2,2014-06-30
15,14,2010-12-30,36.0577,2,2014-06-30
16,15,2011-01-18,32.6923,2,2014-06-30
17,16,2007-12-20,24.0,2,2007-12-06
18,16,2009-07-15,28.75,2,2009-07-01
19,16,2012-04-30,37.5,2,2012-04-16
20,17,2007-01-26,13.4615,2,2014-06-30
21,18,2011-02-07,14.4231,2,2014-06-30
22,19,2011-02-14,13.4615,2,2014-06-30
23,20,2011-01-07,13.4615,2,2014-06-30
24,21,2009-03-02,14.4231,2,2014-06-30
25,22,2008-12-12,14.4231,2,2014-06-30
26,23,2009-01-12,14.4231,2,2014-06-30
27,24,2009-01-18,14.4231,2,2014-06-30
28,25,2009-02-03,84.1346,2,2014-06-30
29,26,2008-12-01,24.5192,2,2014-06-30
30,27,2008-02-27,25.0,2,2014-06-30
31,28,2006-06-30,12.45,1,2014-06-30
32,29,2009-01-23,12.45,1,2014-06-30
33,30,2009-01-29,12.45,1,2014-06-30
34,31,2009-01-04,12.45,1,2014-06-30
35,32,2008-12-29,12.45,1,2014-06-30
36,33,2008-12-17,12.45,1,2014-06-30
37,34,2009-02-16,12.45,1,2014-06-30
38,35,2009-02-08,12.45,1,2014-06-30
39,36,2009-02-10,12.45,1,2014-06-30
40,37,2009-03-07,12.45,1,2014-06-30
41,38,2010-01-16,12.45,1,2014-06-30
42,39,2010-02-05,12.45,1,2014-06-30
43,40,2007-12-26,25.0,2,2014-06-30
44,41,2009-01-21,12.45,1,2014-06-30
45,42,2008-12-27,12.45,1,2014-06-30
46,43,2009-01-02,12.45,1,2014-06-30
47,44,2008-12-08,12.45,1,2014-06-30
48,45,2009-02-26,12.45,1,2014-06-30
49,46,2009-02-08,12.45,1,2014-06-30
50,47,2009-02-22,25.0,2,2014-06-30
51,48,2008-01-06,13.45,1,2014-06-30
52,49,2008-01-07,13.45,1,2014-06-30
53,50,2008-02-02,13.45,1,2014-06-30
54,51,2008-02-20,13.45,1,2014-06-30
55,52,2008-03-10,13.45,1,2014-06-30
56,53,2008-03-28,13.45,1,2014-06-30
57,54,2010-01-01,13.45,1,2014-06-30
58,55,2008-02-08,25.0,2,2014-06-30
59,56,2009-02-05,11.0,1,2014-06-30
60,57,2009-02-23,11.0,1,2014-06-30
61,58,2008-12-05,11.0,1,2014-06-30
62,59,2008-12-24,11.0,1,2014-06-30
63,60,2009-01-11,11.0,1,2014-06-30
64,61,2009-01-18,11.0,1,2014-06-30
65,62,2008-03-17,25.0,2,2014-06-30
66,63,2010-01-29,12.45,1,2014-06-30
67,64,2010-02-23,12.45,1,2014-06-30
68,65,2010-02-23,12.45,1,2014-06-30
69,66,2009-12-22,12.45,1,2014-06-30
70,67,2009-03-05,12.45,1,2014-06-30
71,68,2009-12-03,12.45,1,2014-06-30
72,69,2009-02-15,12.45,1,2014-06-30
73,70,2008-12-15,12.45,1,2014-06-30
74,71,2009-02-15,25.0,2,2014-06-30
75,72,2008-12-01,9.5,1,2014-06-30
76,73,2008-12-19,9.5,1,2014-06-30
77,74,2009-01-07,9.5,1,2014-06-30
78,75,2009-01-26,9.5,1,2014-06-30
79,76,2009-02-12,9.5,1,2014-06-30
80,77,2009-03-03,9.5,1,2014-06-30
81,78,2008-12-15,25.0,2,2014-06-30
82,79,2010-01-24,15.0,1,2014-06-30
83,80,2010-01-17,15.0,1,2014-06-30
84,81,2009-12-29,15.0,1,2014-06-30
85,82,2010-03-03,15.0,1,2014-06-30
86,83,2010-02-12,15.0,1,2014-06-30
87,84,2010-02-05,15.0,1,2014-06-30
88,85,2009-12-11,15.0,1,2014-06-30
89,86,2009-01-05,15.0,1,2014-06-30
90,87,2008-12-22,25.0,2,2014-06-30
91,88,2009-12-18,13.45,1,2014-06-30
92,89,2010-02-01,13.45,1,2014-06-30
93,90,2010-02-20,13.45,1,2014-06-30
94,91,2010-01-12,13.45,1,2014-06-30
95,92,2010-03-10,13.45,1,2014-06-30
96,93,2008-12-27,25.0,2,2014-06-30
97,94,2008-12-12,11.0,1,2014-06-30
98,95,2008-12-19,11.0,1,2014-06-30
