,BillOfMaterialsID,ProductAssemblyID,ComponentID,StartDate,EndDate,UnitMeasureCode,BOMLevel,PerAssemblyQty,ModifiedDate
0,893,,749,2010-05-26,,EA ,0,1.0,2010-05-12
1,271,,750,2010-03-04,2010-05-03,EA ,0,1.0,2010-05-03
2,34,,750,2010-05-04,,EA ,0,1.0,2010-04-20
3,830,,751,2010-05-26,,EA ,0,1.0,2010-05-12
4,2074,,752,2010-07-08,,EA ,0,1.0,2010-06-24
5,1950,,753,2010-06-19,2010-08-18,EA ,0,1.0,2010-08-18
6,1761,,753,2010-08-19,,EA ,0,1.0,2010-08-05
7,3088,,754,2010-12-15,,EA ,0,1.0,2010-12-01
8,3351,,755,2010-12-23,,EA ,0,1.0,2010-12-09
9,3246,,756,2010-12-23,,EA ,0,1.0,2010-12-09
10,2760,,757,2010-09-15,,EA ,0,1.0,2010-09-01
11,2395,,758,2010-08-05,,EA ,0,1.0,2010-07-22
12,3087,,759,2010-12-15,,EA ,0,1.0,2010-12-01
13,3350,,760,2010-12-23,,EA ,0,1.0,2010-12-09
14,2822,,761,2010-09-15,,EA ,0,1.0,2010-09-01
15,3245,,762,2010-12-23,,EA ,0,1.0,2010-12-09
16,2759,,763,2010-09-15,,EA ,0,1.0,2010-09-01
17,2394,,764,2010-08-05,,EA ,0,1.0,2010-07-22
18,3341,,765,2010-12-23,,EA ,0,1.0,2010-12-09
19,2815,,766,2010-09-15,,EA ,0,1.0,2010-09-01
20,2449,,767,2010-08-05,,EA ,0,1.0,2010-07-22
21,2899,,768,2010-09-15,2010-11-14,EA ,0,1.0,2010-11-14
22,2738,,768,2010-11-15,,EA ,0,1.0,2010-11-01
23,2363,,769,2010-08-05,,EA ,0,1.0,2010-07-22
24,1265,,770,2010-06-09,,EA ,0,1.0,2010-05-26
25,1195,,771,2010-06-09,,EA ,0,1.0,2010-05-26
26,3017,,772,2010-12-15,,EA ,0,1.0,2010-12-01
27,3281,,773,2010-12-23,,EA ,0,1.0,2010-12-09
28,2783,,774,2010-09-15,,EA ,0,1.0,2010-09-01
29,5,,775,2010-03-04,,EA ,0,1.0,2010-02-18
30,2737,,776,2010-09-15,,EA ,0,1.0,2010-09-01
31,2362,,777,2010-08-05,,EA ,0,1.0,2010-07-22
32,1264,,778,2010-06-09,,EA ,0,1.0,2010-05-26
33,1642,,779,2010-06-19,,EA ,0,1.0,2010-06-05
34,393,,780,2010-03-18,,EA ,0,1.0,2010-03-04
35,52,,781,2010-03-04,,EA ,0,1.0,2010-02-18
36,3217,,782,2010-12-23,,EA ,0,1.0,2010-12-09
37,808,,783,2010-05-26,,EA ,0,1.0,2010-05-12
38,2049,,784,2010-07-08,,EA ,0,1.0,2010-06-24
39,4,,785,2010-03-04,,EA ,0,1.0,2010-02-18
40,2736,,786,2010-09-15,,EA ,0,1.0,2010-09-01
41,2361,,787,2010-08-05,,EA ,0,1.0,2010-07-22
42,1263,,788,2010-06-09,,EA ,0,1.0,2010-05-26
43,3247,,789,2010-12-23,,EA ,0,1.0,2010-12-09
44,2761,,790,2010-09-15,,EA ,0,1.0,2010-09-01
45,2396,,791,2010-08-05,,EA ,0,1.0,2010-07-22
46,3089,,792,2010-12-15,,EA ,0,1.0,2010-12-01
47,2739,,793,2010-09-15,,EA ,0,1.0,2010-09-01
48,2364,,794,2010-08-05,,EA ,0,1.0,2010-07-22
49,1266,,795,2010-06-09,,EA ,0,1.0,2010-05-26
50,482,,796,2010-03-18,,EA ,0,1.0,2010-03-04
51,1024,,797,2010-05-26,2010-07-25,EA ,0,1.0,2010-07-25
52,783,,797,2010-07-26,,EA ,0,1.0,2010-07-12
53,2333,,798,2010-08-05,,EA ,0,1.0,2010-07-22
54,1240,,799,2010-06-09,,EA ,0,1.0,2010-05-26
55,450,,800,2010-03-18,,EA ,0,1.0,2010-03-04
56,92,,801,2010-03-04,,EA ,0,1.0,2010-02-18
57,1303,,953,2010-06-09,,EA ,0,1.0,2010-05-26
58,1699,,954,2010-06-19,,EA ,0,1.0,2010-06-05
59,3060,,955,2010-12-15,,EA ,0,1.0,2010-12-01
60,3326,,956,2010-12-23,,EA ,0,1.0,2010-12-09
61,2107,,957,2010-07-08,,EA ,0,1.0,2010-06-24
62,2800,,958,2010-09-15,,EA ,0,1.0,2010-09-01
