,PurchaseOrderID,PurchaseOrderDetailID,DueDate,OrderQty,ProductID,UnitPrice,LineTotal,ReceivedQty,RejectedQty,StockedQty,ModifiedDate
0,1,1,2011-04-30 00:00:00.000,4,1,50.26,201.04,3.0,0.0,3.0,2011-04-23 00:00:00.000
1,2,2,2011-04-30 00:00:00.000,3,359,45.12,135.36,3.0,0.0,3.0,2011-04-23 00:00:00.000
2,2,3,2011-04-30 00:00:00.000,3,360,45.5805,136.7415,3.0,0.0,3.0,2011-04-23 00:00:00.000
3,3,4,2011-04-30 00:00:00.000,550,530,16.086,8847.3,550.0,0.0,550.0,2011-04-23 00:00:00.000
4,4,5,2011-04-30 00:00:00.000,3,4,57.0255,171.0765,2.0,1.0,1.0,2011-04-23 00:00:00.000
5,5,6,2011-05-14 00:00:00.000,550,512,37.086,20397.3,550.0,0.0,550.0,2011-05-07 00:00:00.000
6,6,7,2011-05-14 00:00:00.000,550,513,26.5965,14628.075,468.0,0.0,468.0,2011-05-07 00:00:00.000
7,7,8,2011-05-14 00:00:00.000,550,317,27.0585,14882.175,550.0,0.0,550.0,2011-05-07 00:00:00.000
8,7,9,2011-05-14 00:00:00.000,550,318,33.579,18468.45,550.0,0.0,550.0,2011-05-07 00:00:00.000
9,7,10,2011-05-14 00:00:00.000,550,319,46.0635,25334.925,550.0,0.0,550.0,2011-05-07 00:00:00.000
10,8,11,2011-05-14 00:00:00.000,3,403,47.4705,142.4115,3.0,0.0,3.0,2011-05-07 00:00:00.000
11,8,12,2011-05-14 00:00:00.000,3,404,45.3705,136.1115,3.0,0.0,3.0,2011-05-07 00:00:00.000
12,8,13,2011-05-14 00:00:00.000,3,405,49.644,148.932,3.0,0.0,3.0,2011-05-07 00:00:00.000
13,8,14,2011-05-14 00:00:00.000,3,406,45.3705,136.1115,3.0,0.0,3.0,2011-05-07 00:00:00.000
14,8,15,2011-05-14 00:00:00.000,3,407,43.2705,129.8115,3.0,0.0,3.0,2011-05-07 00:00:00.000
15,9,16,2011-12-28 00:00:00.000,3,422,47.523,142.569,3.0,0.0,3.0,2011-12-21 00:00:00.000
16,9,17,2011-12-28 00:00:00.000,3,423,45.423,136.269,3.0,0.0,3.0,2011-12-21 00:00:00.000
17,9,18,2011-12-28 00:00:00.000,3,424,49.6965,149.0895,3.0,0.0,3.0,2011-12-21 00:00:00.000
18,9,19,2011-12-28 00:00:00.000,3,425,45.423,136.269,3.0,0.0,3.0,2011-12-21 00:00:00.000
19,9,20,2011-12-28 00:00:00.000,3,426,43.323,129.969,3.0,0.0,3.0,2011-12-21 00:00:00.000
20,10,21,2011-12-28 00:00:00.000,3,320,47.4705,142.4115,3.0,0.0,3.0,2011-12-21 00:00:00.000
21,10,22,2011-12-28 00:00:00.000,3,321,42.798,128.394,3.0,0.0,3.0,2011-12-21 00:00:00.000
22,10,23,2011-12-28 00:00:00.000,60,322,25.4205,1525.23,60.0,0.0,60.0,2011-12-21 00:00:00.000
23,11,24,2011-12-28 00:00:00.000,3,438,41.223,123.669,3.0,0.0,3.0,2011-12-21 00:00:00.000
24,11,25,2011-12-28 00:00:00.000,3,439,45.4965,136.4895,3.0,0.0,3.0,2011-12-21 00:00:00.000
25,11,26,2011-12-28 00:00:00.000,3,440,41.223,123.669,3.0,0.0,3.0,2011-12-21 00:00:00.000
26,11,27,2011-12-28 00:00:00.000,3,441,39.123,117.369,3.0,0.0,3.0,2011-12-21 00:00:00.000
27,12,28,2011-12-28 00:00:00.000,550,941,62.9895,34644.225,550.0,82.0,468.0,2011-12-21 00:00:00.000
28,13,29,2011-12-28 00:00:00.000,3,320,45.3705,136.1115,3.0,0.0,3.0,2011-12-21 00:00:00.000
29,13,30,2011-12-28 00:00:00.000,3,321,40.488,121.464,3.0,0.0,3.0,2011-12-21 00:00:00.000
30,13,31,2011-12-28 00:00:00.000,60,322,26.3655,1581.93,60.0,0.0,60.0,2011-12-21 00:00:00.000
31,14,32,2011-12-28 00:00:00.000,3,504,48.762,146.286,3.0,3.0,0.0,2011-12-21 00:00:00.000
32,15,33,2011-12-28 00:00:00.000,3,497,34.188,102.564,3.0,0.0,3.0,2011-12-21 00:00:00.000
33,16,34,2011-12-28 00:00:00.000,3,323,50.2635,150.7905,3.0,0.0,3.0,2011-12-21 00:00:00.000
34,17,35,2011-12-29 00:00:00.000,550,523,10.731,5902.05,550.0,0.0,550.0,2011-12-22 00:00:00.000
35,17,36,2011-12-29 00:00:00.000,550,524,14.1225,7767.375,550.0,0.0,550.0,2011-12-22 00:00:00.000
36,18,37,2011-12-29 00:00:00.000,60,492,50.2635,3015.81,60.0,0.0,60.0,2011-12-22 00:00:00.000
37,18,38,2011-12-29 00:00:00.000,60,493,57.1515,3429.09,60.0,0.0,60.0,2011-12-22 00:00:00.000
38,18,39,2011-12-29 00:00:00.000,60,494,53.2035,3192.21,60.0,0.0,60.0,2011-12-22 00:00:00.000
39,18,40,2011-12-29 00:00:00.000,60,495,63.693,3821.58,60.0,0.0,60.0,2011-12-22 00:00:00.000
40,18,41,2011-12-29 00:00:00.000,60,496,48.909,2934.54,60.0,0.0,60.0,2011-12-22 00:00:00.000
41,19,42,2011-12-29 00:00:00.000,550,908,21.0945,11601.975,550.0,0.0,550.0,2011-12-22 00:00:00.000
42,19,43,2011-12-29 00:00:00.000,550,909,30.4395,16741.725,550.0,0.0,550.0,2011-12-22 00:00:00.000
43,19,44,2011-12-29 00:00:00.000,550,910,40.9395,22516.725,550.0,0.0,550.0,2011-12-22 00:00:00.000
44,19,45,2011-12-29 00:00:00.000,550,911,21.0945,11601.975,550.0,0.0,550.0,2011-12-22 00:00:00.000
45,19,46,2011-12-29 00:00:00.000,550,912,30.4395,16741.725,550.0,0.0,550.0,2011-12-22 00:00:00.000
46,20,47,2011-12-29 00:00:00.000,60,506,9.198,551.88,60.0,0.0,60.0,2011-12-22 00:00:00.000
47,21,48,2011-12-29 00:00:00.000,550,351,5.775,3176.25,550.0,0.0,550.0,2011-12-22 00:00:00.000
48,21,49,2011-12-29 00:00:00.000,550,352,1.155,635.25,550.0,0.0,550.0,2011-12-22 00:00:00.000
49,21,50,2011-12-29 00:00:00.000,550,679,5.775,3176.25,550.0,27.0,523.0,2011-12-22 00:00:00.000
50,22,51,2011-12-29 00:00:00.000,550,507,23.394,12866.7,550.0,82.0,468.0,2011-12-22 00:00:00.000
51,22,52,2011-12-29 00:00:00.000,550,508,27.6465,15205.575,550.0,0.0,550.0,2011-12-22 00:00:00.000
52,23,53,2011-12-29 00:00:00.000,550,355,1.365,750.75,550.0,0.0,550.0,2011-12-22 00:00:00.000
53,23,54,2011-12-29 00:00:00.000,550,940,62.9895,34644.225,550.0,0.0,550.0,2011-12-22 00:00:00.000
54,23,55,2011-12-29 00:00:00.000,550,535,3.486,1917.3,550.0,0.0,550.0,2011-12-22 00:00:00.000
55,24,56,2011-12-29 00:00:00.000,550,351,6.195,3407.25,550.0,550.0,0.0,2011-12-22 00:00:00.000
56,24,57,2011-12-29 00:00:00.000,550,352,1.47,808.5,550.0,550.0,0.0,2011-12-22 00:00:00.000
57,25,58,2011-12-29 00:00:00.000,550,507,22.1655,12191.025,550.0,0.0,550.0,2011-12-22 00:00:00.000
58,25,59,2011-12-29 00:00:00.000,550,508,29.2845,16106.475,523.0,0.0,523.0,2011-12-22 00:00:00.000
59,26,60,2011-12-29 00:00:00.000,3,491,19.9815,59.9445,3.0,0.0,3.0,2011-12-22 00:00:00.000
60,27,61,2011-12-29 00:00:00.000,3,341,41.1705,123.5115,3.0,0.0,3.0,2011-12-22 00:00:00.000
61,27,62,2011-12-29 00:00:00.000,3,342,39.0705,117.2115,3.0,0.0,3.0,2011-12-22 00:00:00.000
62,27,63,2011-12-29 00:00:00.000,3,343,43.344,130.032,3.0,0.0,3.0,2011-12-22 00:00:00.000
63,27,64,2011-12-29 00:00:00.000,3,344,39.0705,117.2115,3.0,0.0,3.0,2011-12-22 00:00:00.000
64,27,65,2011-12-29 00:00:00.000,3,345,36.9705,110.9115,3.0,0.0,3.0,2011-12-22 00:00:00.000
65,27,66,2011-12-29 00:00:00.000,3,346,41.244,123.732,3.0,0.0,3.0,2011-12-22 00:00:00.000
66,28,67,2011-12-29 00:00:00.000,550,935,31.4895,17319.225,550.0,0.0,550.0,2011-12-22 00:00:00.000
67,28,68,2011-12-29 00:00:00.000,550,936,48.2895,26559.225,550.0,0.0,550.0,2011-12-22 00:00:00.000
68,29,69,2012-01-22 00:00:00.000,3,375,43.344,130.032,3.0,0.0,3.0,2012-01-15 00:00:00.000
69,29,70,2012-01-22 00:00:00.000,3,376,39.0705,117.2115,3.0,0.0,3.0,2012-01-15 00:00:00.000
