,CurrencyRateID,CurrencyRateDate,FromCurrencyCode,ToCurrencyCode,AverageRate,EndOfDayRate,ModifiedDate
0,1,2011-05-31 00:00:00.000,USD,ARS,1.0,1.0002,2011-05-31 00:00:00.000
1,2,2011-05-31 00:00:00.000,USD,AUD,1.5491,1.55,2011-05-31 00:00:00.000
2,3,2011-05-31 00:00:00.000,USD,BRL,1.9379,1.9419,2011-05-31 00:00:00.000
3,4,2011-05-31 00:00:00.000,USD,CAD,1.4641,1.4683,2011-05-31 00:00:00.000
4,5,2011-05-31 00:00:00.000,USD,CNY,8.2781,8.2784,2011-05-31 00:00:00.000
5,6,2011-05-31 00:00:00.000,USD,DEM,1.8967,1.8976,2011-05-31 00:00:00.000
6,7,2011-05-31 00:00:00.000,USD,EUR,0.9697,0.9703,2011-05-31 00:00:00.000
7,8,2011-05-31 00:00:00.000,USD,FRF,6.3611,6.3613,2011-05-31 00:00:00.000
8,9,2011-05-31 00:00:00.000,USD,GBP,0.6183,0.6183,2011-05-31 00:00:00.000
9,10,2011-05-31 00:00:00.000,USD,JPY,104.91,104.958,2011-05-31 00:00:00.000
10,11,2011-05-31 00:00:00.000,USD,MXN,9.374,9.384,2011-05-31 00:00:00.000
11,12,2011-05-31 00:00:00.000,USD,SAR,3.7507,3.7584,2011-05-31 00:00:00.000
12,13,2011-05-31 00:00:00.000,USD,VEB,634.5099,634.6,2011-05-31 00:00:00.000
13,14,2011-06-01 00:00:00.000,USD,ARS,1.0,0.9991,2011-06-01 00:00:00.000
14,15,2011-06-01 00:00:00.000,USD,AUD,1.5559,1.5558,2011-06-01 00:00:00.000
15,16,2011-06-01 00:00:00.000,USD,BRL,1.9339,1.933,2011-06-01 00:00:00.000
16,17,2011-06-01 00:00:00.000,USD,CAD,1.4661,1.4637,2011-06-01 00:00:00.000
17,18,2011-06-01 00:00:00.000,USD,CNY,8.2781,8.2774,2011-06-01 00:00:00.000
18,19,2011-06-01 00:00:00.000,USD,DEM,1.8924,1.8922,2011-06-01 00:00:00.000
19,20,2011-06-01 00:00:00.000,USD,EUR,0.9676,0.967,2011-06-01 00:00:00.000
20,21,2011-06-01 00:00:00.000,USD,FRF,6.3468,6.3465,2011-06-01 00:00:00.000
21,22,2011-06-01 00:00:00.000,USD,GBP,0.6166,0.6162,2011-06-01 00:00:00.000
22,23,2011-06-01 00:00:00.000,USD,JPY,105.7,105.674,2011-06-01 00:00:00.000
23,24,2011-06-01 00:00:00.000,USD,MXN,9.3949,9.3919,2011-06-01 00:00:00.000
