,BusinessEntityID,CreditCardID,ModifiedDate
0,293,17038,2013-07-31
1,295,15369,2011-08-01
2,297,8010,2011-08-01
3,299,5316,2013-07-31
4,301,6653,2011-05-31
5,303,9010,2012-07-31
6,305,8937,2011-05-31
7,307,16124,2012-10-30
8,309,9478,2011-07-01
9,311,17600,2011-08-01
10,313,1970,2013-06-30
11,315,8274,2013-07-31
12,317,13045,2011-05-31
13,319,13601,2011-08-01
14,323,5958,2012-07-31
15,325,10709,2012-05-30
16,327,126,2013-07-31
17,329,6626,2013-05-30
18,331,14963,2012-06-30
19,333,18100,2011-08-01
20,335,12823,2013-03-30
21,337,11434,2013-06-30
22,339,13160,2011-07-01
23,341,3787,2011-10-31
24,343,8979,2011-07-01
25,345,14729,2011-07-01
26,347,6264,2011-07-01
27,349,2273,2013-07-31
28,351,18154,2012-06-30
29,353,18257,2013-07-31
30,355,14184,2011-07-01
31,357,11472,2013-06-30
32,359,10785,2013-06-30
33,361,4215,2011-08-01
34,363,2396,2013-06-30
35,365,4983,2012-05-30
36,367,1660,2011-07-01
37,369,17861,2011-07-01
38,371,15321,2011-07-01
39,373,3756,2013-06-30
40,375,14486,2011-08-01
41,377,16441,2013-06-30
42,379,10338,2013-07-31
43,381,4173,2012-07-31
44,383,18570,2013-07-31
45,385,9102,2012-07-31
46,387,626,2011-10-31
47,389,5409,2012-08-30
48,391,2337,2011-05-31
49,393,5262,2013-07-31
50,397,6272,2012-07-31
51,405,11945,2012-10-30
52,407,14938,2013-07-31
53,409,6306,2013-06-30
54,411,181,2011-07-01
55,413,17315,2012-06-30
56,417,13667,2011-10-01
57,419,12491,2013-06-30
58,421,18295,2012-06-30
59,427,12189,2012-06-30
60,429,16173,2013-02-28
61,431,10057,2012-07-31
62,435,10187,2013-06-30
63,437,5528,2011-07-01
64,439,7083,2011-05-31
65,441,12492,2013-07-31
66,443,7657,2013-07-31
67,445,1977,2013-07-31
68,449,9647,2013-07-31
69,451,1684,2011-10-01
70,453,1163,2011-10-01
71,455,11087,2013-06-30
72,463,3513,2013-07-31
73,465,11282,2011-07-01
74,471,14489,2012-07-31
75,473,9772,2012-06-30
76,475,7777,2013-06-30
77,477,7293,2011-08-01
78,479,14814,2013-07-31
79,481,10832,2013-06-30
80,483,4322,2011-05-31
81,487,18017,2011-05-31
82,489,7527,2013-06-30
83,491,9458,2012-07-31
84,493,13917,2011-07-01
85,495,242,2011-05-31
86,497,14363,2011-07-01
87,501,17699,2013-07-31
88,503,8394,2012-07-31
89,505,3490,2012-07-31
90,507,12316,2013-06-30
91,509,6442,2012-07-31
92,511,319,2011-08-01
93,513,6920,2013-08-30
94,515,12857,2012-07-31
95,517,15232,2011-05-31
96,519,4524,2011-08-01
97,521,1359,2011-07-01
98,523,4789,2011-10-01
99,525,1803,2012-07-31
100,527,972,2011-10-01
101,531,16467,2013-06-30
102,533,1906,2012-05-30
103,535,15842,2011-10-01
104,537,17164,2013-05-30
105,539,1308,2012-06-30
106,541,3392,2013-05-30
107,543,17368,2011-08-01
108,545,8522,2012-06-30
109,547,6340,2012-05-30
110,549,16065,2013-05-30
111,551,19204,2011-05-31
112,553,15195,2013-06-30
113,555,15487,2012-06-30
114,557,4052,2012-05-30
115,559,2741,2012-07-31
116,561,3318,2012-06-30
117,563,11110,2013-05-30
118,565,17281,2013-07-31
119,567,18868,2012-05-30
120,569,16021,2012-05-30
121,573,14612,2011-05-31
122,577,4727,2013-07-31
123,579,15924,2013-06-30
124,581,17540,2013-06-30
125,583,3235,2011-05-31
126,585,5758,2011-10-01
127,587,13536,2013-07-31
128,589,18717,2012-05-30
129,591,1566,2011-05-31
130,595,12715,2013-06-30
131,597,17277,2012-06-30
132,599,10270,2011-07-01
133,601,17923,2012-06-30
134,603,553,2012-06-30
135,607,5577,2011-07-01
136,609,5514,2012-09-30
137,611,7829,2011-08-01
138,613,17308,2013-05-30
139,615,204,2011-07-01
140,617,2602,2013-07-31
141,619,6863,2012-09-30
142,621,15954,2012-06-30
143,623,10502,2013-07-31
144,625,11580,2013-07-31
145,627,5589,2012-06-30
146,629,3764,2013-05-30
147,631,13278,2011-08-01
148,633,13923,2012-06-30
149,635,2847,2013-05-30
150,637,2270,2012-07-31
151,639,2604,2012-05-30
152,641,5164,2011-08-01
153,643,18460,2013-07-31
154,647,4357,2011-08-01
155,649,5751,2012-06-30
156,651,4830,2013-05-30
157,653,7600,2011-08-01
158,655,16192,2013-06-30
159,657,6468,2012-07-31
160,659,9961,2013-07-31
161,661,13054,2011-05-31
162,663,17774,2012-05-30
163,665,16805,2013-05-30
164,667,778,2011-08-01
165,669,14842,2013-05-30
166,671,19154,2011-08-01
167,675,230,2013-07-31
168,681,12529,2013-07-31
169,683,14497,2012-05-30
170,685,14064,2011-08-01
171,687,8342,2013-05-30
172,689,15364,2013-06-30
173,691,1912,2012-05-30
174,693,17935,2011-08-01
175,695,18328,2013-07-31
176,697,5301,2011-05-31
177,699,10526,2012-06-30
178,701,15282,2012-07-31
179,703,7167,2011-07-01
180,705,11274,2013-06-30
181,707,7832,2013-06-30
182,709,14371,2012-06-30
183,713,16871,2011-10-01
184,715,12135,2011-10-31
185,717,16939,2013-05-30
186,719,18908,2013-05-30
187,721,5618,2011-05-31
188,723,18407,2011-08-01
189,725,17073,2011-10-31
190,727,18323,2011-07-01
191,729,14261,2013-07-31
192,731,12554,2012-06-30
193,733,15829,2012-07-31
194,735,1039,2013-05-30
195,737,18049,2011-07-01
196,739,17658,2011-08-01
197,741,18502,2011-08-31
198,743,10336,2012-05-30
199,745,3827,2012-06-30
200,751,17669,2011-08-01
201,753,7092,2011-08-01
202,757,10553,2013-07-31
203,759,11781,2011-07-01
204,761,3070,2012-05-30
205,763,7392,2011-08-01
206,765,15443,2012-06-30
207,767,923,2012-05-30
208,769,11046,2013-05-30
209,771,4931,2013-05-30
210,773,5824,2013-07-31
211,775,11080,2012-07-31
212,777,11201,2012-04-30
213,779,11745,2011-07-01
214,781,10064,2012-06-30
215,783,9628,2013-07-31
216,785,17544,2012-07-31
217,787,18496,2011-08-01
218,789,15090,2011-07-01
219,791,17902,2012-05-30
220,793,6452,2011-07-01
221,795,14546,2013-06-30
222,797,7597,2012-07-31
223,799,3047,2011-08-01
224,801,10783,2012-07-31
225,803,12214,2011-08-01
226,805,17062,2011-08-01
227,807,18231,2012-06-30
228,809,11622,2013-06-30
229,811,6065,2011-08-01
230,813,18875,2011-08-01
231,815,13468,2011-07-01
232,817,15882,2011-07-01
233,819,12399,2011-05-31
234,821,16523,2012-09-30
235,823,16023,2013-07-31
236,825,19078,2011-08-01
237,827,12698,2011-08-01
238,829,15616,2013-06-30
239,831,6126,2011-07-01
240,833,12648,2013-06-30
241,835,5346,2012-10-30
242,837,12015,2013-06-30
243,839,9043,2011-10-01
244,841,8015,2014-01-29
245,843,6235,2012-10-30
246,845,161,2011-07-01
247,847,6940,2012-06-30
248,849,7604,2011-08-01
249,851,1346,2011-05-31
250,853,8213,2013-07-31
251,855,11874,2013-07-31
252,857,19143,2013-05-30
253,859,18174,2013-07-31
254,861,10146,2012-07-31
255,863,18813,2011-08-01
256,867,16967,2013-07-31
257,869,11011,2011-07-01
258,871,3465,2012-07-31
259,873,12,2012-05-30
260,875,8579,2013-05-30
261,877,7146,2011-08-01
262,879,15538,2011-05-31
263,881,11555,2011-08-01
264,883,6675,2011-07-01
265,885,13480,2012-07-31
266,887,5099,2013-05-30
267,889,5995,2013-09-30
268,891,15319,2012-06-30
269,893,4511,2014-05-01
270,895,6955,2011-08-01
271,897,2759,2011-10-01
272,899,13246,2011-07-01
273,901,18591,2012-07-31
274,903,76,2011-05-31
275,905,17748,2013-07-31
